,id,host_is_superhost,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities
8389,49437714,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,62.0,2,10,1,0,0,0,1,0,1.0,14.0
8390,49437915,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,6,2.0,2.0,98.0,1,14,1,0,0,0,1,0,1.0,15.0
8391,49437924,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,120.0,2,0,1,0,0,0,1,0,1.0,17.0
8392,49438144,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4,2.0,2.0,87.0,2,39,1,0,0,0,1,0,2.0,17.0
8393,49438358,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,73.0,2,32,1,0,0,0,1,0,1.0,17.0
8394,49438753,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,75.0,2,33,1,0,0,0,1,0,1.0,17.0
8395,49439756,f,ΝΕΑ ΚΥΨΕΛΗ,6,2.0,5.0,39.0,3,3,1,0,0,0,1,0,1.0,13.0
8396,49441814,t,ΘΗΣΕΙΟ,6,3.0,4.0,53.0,3,6,1,0,0,0,1,0,1.0,18.0
8397,49453258,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,45.0,2,2,1,0,0,0,1,0,1.0,16.0
8398,49454591,t,ΠΕΤΡΑΛΩΝΑ,4,1.0,2.0,38.0,1,14,1,0,0,0,1,0,1.5,11.0
8399,49455758,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3,1.0,3.0,31.0,2,12,1,0,0,0,1,0,1.0,15.0
8400,49456778,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,0.0,53.0,1,42,1,0,0,0,1,0,1.0,18.0
8401,49457689,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3,1.0,2.0,50.0,1,29,1,0,0,0,1,0,1.0,18.0
8402,49459095,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,0.0,48.0,1,41,1,0,0,0,1,0,1.0,18.0
8403,49460557,t,ΓΟΥΔΙ,2,1.0,1.0,22.0,2,8,1,0,0,0,1,0,1.0,18.0
8404,49474497,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3,1.0,2.0,51.0,1,36,1,0,0,0,1,0,1.0,18.0
8405,49475369,t,ΚΟΛΩΝΑΚΙ,2,1.0,1.0,50.0,2,16,1,0,0,0,1,0,1.0,19.0
8406,49475940,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,5,1.0,1.0,55.0,1,29,1,0,0,0,1,0,1.0,19.0
8407,49476922,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4,1.0,2.0,56.0,1,30,1,0,0,0,1,0,1.0,16.0
8408,49482021,t,ΓΟΥΔΙ,4,1.0,2.0,54.0,1,33,1,0,0,0,1,0,1.0,17.0
8409,49483041,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,14,6.0,7.0,218.0,2,12,1,0,0,0,1,0,2.5,15.0
8410,49494231,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,2,1.0,1.0,46.0,2,1,1,0,0,0,1,0,1.0,8.0
8411,49497698,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3,3.0,1.0,59.0,2,1,1,0,0,0,1,0,1.5,17.0
8412,49499012,f,ΚΟΛΩΝΟΣ,6,3.0,4.0,35.0,2,33,1,0,0,0,1,0,1.0,18.0
